"file","categoryname","price","mass","volume","description"
"Pilot","Contraband/Pilot",650.5,0.01,1,"@cargo/slaves.png@<Contraband>Much as you may hate the pilot of the ship that attempted to destroy yours, destroying that pilot's ship does not grant one, under interstellar law, the right to sell said pilot into slavery. That being said, many have been known to do just that."
"Tobacco","Contraband/Tobacco",90.5,0.01,1,"@cargo/tobacco.png@<Contraband>The tobacco plant, native to Terra, is the source of the pesticide Nicotine. Tobacco leaves, when cured and burned, release the addictive pesticide, along with numerous carcinogens. So far, no species other than humanity has been stupid enough to use this as a drug."
"Ultimate","Contraband/Ultimate",950.5,0.01,1,"@cargo/ultimate.png@<Contraband>Produced by a genetically engineered hybrid of Terran and Xeno flora, the F62 variant of the extract of the seeds of the Khaisal plant induces a prolonged state of euphoria in humans. While the extract is not not intrinsically toxic, it is highly addictive, and therefore illegal in most places."
"gothri","starships/Deprecated",2500000,132,2700,"<Ships/Report_Bug>The Kilrathi Gothri can pose a very real threat to any ship in the Gemini Sector.  With its impressive acceleration, it can reach high velocities. When you are facing a Gorthri in combat, you should concentrate on its weak armor.  A few well placed concentrated bursts of gunfire can severely damage this fighter.  However, it is not that easy to close on it.  The Gothri is very maneuverable and can easily down you first with its array of blasters."
"dralthi","starships/Deprecated",1400000,197,4000,"<Ships/Report_Bug>Most Kilrathi fighters emphasize high velocity and maneuverability, since nearly all Kilrathi pilots rely on aggressive combat strategies. The Dralthi is no exception. With excellent acceleration powers and powerful afterburners, its high velocity allows a Kilrathi pilot to close in on his kill quickly and efficiently. One thing to keep in mind before catching up with your target is that the Dralthi's firepower is rather weak."
"kamekh","starships/Deprecated",8000000,216,4400,"<Ships/Report_Bug>If you are flying missions in the Clarke Quadrant, you are apt to encounter the Kamekh sooner or later.  This imposing capital ship with its strong armor and heavy weapons loadout is one of the most impressively designed spacecraft in the Gemini sector.  The Kamekh is not only equipped with a sophisticated arsenal of guns ranging from meson blasters to plasma cannons, but it can also effectively down enemy ships with its multiple missiles.  Refer to Survival Tips for effective attack strategies against capital ships."
"salthi","starships/Retro",400000,216,4400,"<Ships/Kilrathi_Retro>The Retros, being by their nature not given to grand industrialization, rely on a small number of hidden facilities and sympathetic manufacturing plants to supply them with ships. The Salthi bears the distinction of being the only class of spacecraft officially sanctioned by the reverend Jones, who, when presented with its initial designs just over a year ago, said that prayer had revealed to her that that this was to be the 'shepherds crook' by which man's sins would be constrained. Inexpensive, even at the time of its introduction, the Salthi remains a utilitarian craft well suited to the production schedules of backwater worlds."
"tarsus.blank","starships/Merchant/Light",28000,250,1500,"<Ships/Merchant>The mainstay of the Exploratory Services fleet just a few years ago, these steady craft are now a familiar part of the private enterprise. The tarsus has been discontinued.  We list it here because of its popularity and general availability in the used markets."
"tarsus.begin","starships/Used",18000,250,1500,"<Ships/Merchant>The mainstay of the Exploratory Services fleet just a few years ago, these steady craft are now a familiar part of the private enterprise. The tarsus has been discontinued.  We list it here because of its popularity and general availability in the used markets."
"galaxy.blank","starships/Merchant/Medium",150000,325,7500,"<Ships/Merchant>A versatile merchant's vessel, the Galaxy is perfect for those with an entrepreneurial spirit.  She is by no means a military vessel, but a Galaxy can usually protect herself and the large amount of cargo she's able to carry."
"centurion.blank","starships/Hunter/Medium",200000,40,1000,"<Ships/Hunter>This is the workhorse of the mercenary community. The centurion is a heavy fighter with the ability to do almost any gun-for-hire work. The limited cargo hold can contain more than an overnight bag, but not by much.  This is a ship for those pilots who love to fly, but it won't make you a living on the trade circuit."
"orion.blank","starships/Hunter/Heavy",125000,40,1000,"<Ships/Hunter>The orion is perhaps the safest of all vehicles.  It can carry the most armor and shields of all ships in the Gemini sector (at the expense of its maneuverability). This is a sturdy ship, designed to last."
"kukhri.blank","starships/Militia/Medium",100000,140,1500,"<Ships/Report_Bug>The Kukhri was the product of a joint Confed & Merchant guild effort to update the Gladius and strengthen militia forces.  Featuring better gun placement, higher speed and additional missiles this variant can hold its own even against the most advanced Kilrathi fighters."
"grikath.blank","starships/Hunter/Heavy",2500000,27,2700,"<Ships/Report_Bug>The Kilrathi Grikath is no longer the premier bomber of the Empire but is still a threat with it's heavy array of neutron guys and proton torpedos "
"devship","starships/Merchant/Light",1,20,1000,"<Ships/Report_Bug>Developer ship - not for gameplay, for testing only."
"sabre.blank","starships/Hunter/Heavy",375000,22,2500,"<Ships/Report_Bug>Sabre fighter-bombers are an excellently engineered compromise between the need to carry torpedoes and a rear turret and the maneuverability necessary to survive dogfights. Made possible by advancement in torpedo aiming assist systems. the Sabre is arguably a superior choice to the Broadsword in most strike missions."
